name,visits,spend,months,plan,will_leave
客001,9,8308,21,basic,no
客002,10,16649,35,premium,no
客003,4,6947,6,basic,yes
客004,6,11232,4,basic,no
客005,10,8843,38,basic,no
客006,13,19662,15,basic,no
客007,8,13857,35,premium,no
客008,3,5193,38,basic,no
客009,0,0,5,basic,yes
客010,6,8488,28,basic,no
客011,7,6574,16,basic,no
客012,0,5000,20,premium,yes
客013,7,7563,39,basic,no
客014,8,19483,22,basic,no
客015,6,8269,5,basic,no
客016,1,916,23,basic,yes
客017,10,14104,6,premium,no
客018,4,13789,47,premium,no
客019,4,3353,19,basic,no
客020,2,1800,30,basic,yes
客021,8,18868,19,basic,no
客022,9,16450,32,premium,no
客023,9,18007,9,basic,no
客024,4,4226,23,basic,no
客025,9,14619,12,basic,no
客026,7,10585,38,basic,no
客027,3,5921,24,basic,yes
客028,11,14809,33,premium,no
客029,7,10290,44,basic,no
客030,5,12369,31,basic,no
客031,7,6818,29,basic,no
客032,7,12903,37,basic,no
客033,9,16906,5,basic,no
客034,2,4486,23,basic,yes
客035,2,1947,30,basic,yes
客036,5,10372,22,premium,no
客037,8,8393,2,basic,yes
客038,11,27097,35,basic,no
客039,4,9376,6,basic,yes
客040,6,13162,23,premium,no
客041,0,0,15,basic,yes
客042,5,13188,26,premium,no
客043,6,9616,47,basic,no
客044,2,4349,13,basic,yes
客045,15,14053,47,basic,no
客046,6,9723,7,basic,yes
客047,8,16078,40,premium,no
客048,11,23429,42,basic,no
客049,3,9095,13,premium,yes
客050,2,4064,47,basic,yes
客051,6,19029,11,premium,no
客052,10,19173,42,basic,no
客053,8,6593,23,basic,no
客054,3,4612,47,basic,no
客055,7,8132,13,basic,no
客056,6,10352,33,basic,no
客057,12,23114,9,basic,no
客058,0,5000,34,premium,yes
客059,5,10600,10,basic,yes
客060,13,13528,39,basic,no
客061,5,9799,40,basic,no
客062,0,0,34,basic,yes
客063,6,9978,4,basic,yes
客064,14,21749,36,basic,no
客065,11,21754,40,basic,no
客066,0,5000,29,premium,yes
客067,0,0,45,basic,yes
客068,7,10269,13,basic,no
客069,8,9292,21,basic,no
客070,7,16780,20,basic,no
客071,4,9779,42,basic,no
客072,5,5383,15,basic,no
客073,7,17429,43,basic,no
客074,4,3826,26,basic,yes
客075,11,21948,24,basic,no
客076,3,12299,25,premium,yes
客077,13,12257,8,basic,no
客078,12,25017,18,basic,no
客079,9,13411,28,basic,no
客080,10,18559,35,premium,no
客081,11,25541,18,basic,no
客082,11,10365,18,basic,no
客083,13,10655,15,basic,no
客084,0,5000,36,premium,yes
客085,3,3735,34,basic,no
客086,7,11919,12,basic,no
客087,4,5039,14,basic,yes
客088,7,14323,2,basic,no
客089,10,23888,36,basic,no
客090,2,8283,7,premium,yes
客091,9,22231,26,basic,no
客092,8,20049,22,premium,no
客093,17,14011,26,basic,no
客094,5,4470,41,basic,no
客095,10,29505,43,premium,no
